date,person,discipline,title,target,distance_m,duration_s,phase,week
2027-01-04,both,swim,Technique swim,Drills and aerobic sets,2000,,seville,1
2027-01-05,both,run,Threshold intervals,"5 × 1 km at threshold, 90 s jog",8000,,seville,1
2027-01-06,both,bike,Zone 2 ride,"Steady, spin the legs out",,3600,seville,1
2027-01-07,both,run,Easy run,Conversational the whole way,8000,,seville,1
2027-01-08,both,strength,Gym,"Legs, glutes and core",,2700,seville,1
2027-01-09,both,bike,Easy ride,"90 min, nothing hard",,4500,seville,1
2027-01-10,both,run,Long run,Last 5 km at half-marathon effort,14000,,seville,1
2027-01-11,both,swim,Technique swim,Drills and aerobic sets,2100,,seville,2
2027-01-12,both,run,Threshold intervals,"5 × 1 km at threshold, 90 s jog",8500,,seville,2
2027-01-13,both,bike,Zone 2 ride,"Steady, spin the legs out",,3800,seville,2
2027-01-14,both,run,Easy run,Conversational the whole way,8300,,seville,2
2027-01-15,both,strength,Gym,"Legs, glutes and core",,2700,seville,2
2027-01-16,both,bike,Easy ride,"90 min, nothing hard",,4700,seville,2
2027-01-17,both,run,Long run,Last 5 km at half-marathon effort,15000,,seville,2
2027-01-18,both,swim,Technique swim,Drills and aerobic sets,2200,,seville,3
2027-01-19,both,run,Threshold intervals,"5 × 1 km at threshold, 90 s jog",9000,,seville,3
2027-01-20,both,bike,Zone 2 ride,"Steady, spin the legs out",,3900,seville,3
2027-01-21,both,run,Easy run,Conversational the whole way,8700,,seville,3
2027-01-22,both,strength,Gym,"Legs, glutes and core",,2700,seville,3
2027-01-23,both,bike,Easy ride,"90 min, nothing hard",,4800,seville,3
2027-01-24,both,run,Long run,Last 5 km at half-marathon effort,16000,,seville,3
2027-01-25,both,swim,Technique swim,Drills and aerobic sets,1500,,seville,4
2027-01-26,both,run,Threshold intervals,"6 × 1 km at threshold, 90 s jog",6200,,seville,4
2027-01-27,both,bike,Zone 2 ride,"Steady, spin the legs out",,2600,seville,4
2027-01-28,both,run,Easy run,Conversational the whole way,5900,,seville,4
2027-01-29,both,strength,Gym,"Legs, glutes and core",,2700,seville,4
2027-01-30,both,bike,Easy ride,"90 min, nothing hard",,3200,seville,4
2027-01-31,both,run,Long run,Last 5 km at half-marathon effort,11000,,seville,4
2027-02-01,both,swim,Technique swim,Drills and aerobic sets,2400,,seville,5
2027-02-02,both,run,Threshold intervals,"6 × 1 km at threshold, 90 s jog",10000,,seville,5
2027-02-03,both,bike,Zone 2 ride,"Steady, spin the legs out",,4200,seville,5
2027-02-04,both,run,Easy run,Conversational the whole way,9300,,seville,5
2027-02-05,both,strength,Gym,"Legs, glutes and core",,2700,seville,5
2027-02-06,both,bike,Easy ride,"90 min, nothing hard",,5100,seville,5
2027-02-07,both,run,Long run,Last 5 km at half-marathon effort,18000,,seville,5
2027-02-08,both,swim,Technique swim,Drills and aerobic sets,2500,,seville,6
2027-02-09,both,run,Threshold intervals,"6 × 1 km at threshold, 90 s jog",10500,,seville,6
2027-02-10,both,bike,Zone 2 ride,"Steady, spin the legs out",,4400,seville,6
2027-02-11,both,run,Easy run,Conversational the whole way,9700,,seville,6
2027-02-12,both,strength,Gym,"Legs, glutes and core",,2700,seville,6
2027-02-13,both,bike,Easy ride,"90 min, nothing hard",,5300,seville,6
2027-02-14,both,run,Long run,Last 5 km at half-marathon effort,19000,,seville,6
2027-02-15,both,swim,Loosener swim,"Easy, nothing hard",1500,,seville,7
2027-02-16,both,run,Strides,5 km easy + 6 × 20 s fast,6000,,seville,7
2027-02-17,both,bike,Spin,"45 min, keep it light",,2700,seville,7
2027-02-18,both,run,Easy run,"5 km, legs only",5000,,seville,7
2027-02-20,both,run,Shakeout,3 km + 4 × 20 s at race pace,3000,,seville,7
2027-02-21,both,run,Seville Half Marathon,Race day. Go and enjoy it.,21097,,seville,7
2027-02-22,both,swim,Easy swim,"Feel the water, no sets",1800,,recover,8
2027-02-24,both,bike,Easy spin,"60 min, flat",,3600,recover,8
2027-02-25,both,run,Easy run,Short and slow,6000,,recover,8
2027-02-26,both,strength,Mobility,"30 min, hips and ankles",,1800,recover,8
2027-02-28,both,run,Easy run,However far feels good,8000,,recover,8
2027-03-01,both,swim,Technique swim,"Drills, then 10 × 100 m steady",2400,,base,9
2027-03-02,both,run,Threshold intervals,"4 × 6 min at threshold, 2 min jog",9000,,base,9
2027-03-03,both,bike,Endurance ride,Zone 2 with 3 × 8 min cadence work,35000,,base,9
2027-03-04,both,swim,Endurance swim,Long continuous sets,2600,,base,9
2027-03-04,both,run,Easy run,"Off the back of the swim, easy",8000,,base,9
2027-03-05,both,strength,Gym,"Legs, glutes and core",,2700,base,9
2027-03-06,both,bike,Long ride,"Steady, together",60000,,base,9
2027-03-07,both,run,Long run,Flat and steady,14000,,base,9
2027-03-08,both,swim,Technique swim,"Drills, then 10 × 100 m steady",2500,,base,10
2027-03-09,both,run,Threshold intervals,"4 × 6 min at threshold, 2 min jog",9300,,base,10
2027-03-10,both,bike,Endurance ride,Zone 2 with 3 × 8 min cadence work,37000,,base,10
2027-03-11,both,swim,Endurance swim,Long continuous sets,2700,,base,10
2027-03-11,both,run,Easy run,"Off the back of the swim, easy",8200,,base,10
2027-03-12,both,strength,Gym,"Legs, glutes and core",,2700,base,10
2027-03-13,both,bike,Long ride,"Steady, together",63500,,base,10
2027-03-14,both,run,Long run,Flat and steady,14500,,base,10
2027-03-15,both,swim,Technique swim,"Drills, then 10 × 100 m steady",2500,,base,11
2027-03-16,both,run,Threshold intervals,"4 × 6 min at threshold, 2 min jog",9500,,base,11
2027-03-17,both,bike,Endurance ride,Zone 2 with 3 × 8 min cadence work,38500,,base,11
2027-03-18,both,swim,Endurance swim,Long continuous sets,2800,,base,11
2027-03-18,both,run,Easy run,"Off the back of the swim, easy",8400,,base,11
2027-03-19,both,strength,Gym,"Legs, glutes and core",,2700,base,11
2027-03-20,both,bike,Long ride,"Steady, together",67500,,base,11
2027-03-21,both,run,Long run,Flat and steady,15000,,base,11
2027-03-22,both,swim,Technique swim,"Drills, then 10 × 100 m steady",1700,,base,12
2027-03-23,both,run,Threshold intervals,"4 × 6 min at threshold, 2 min jog",6400,,base,12
2027-03-24,both,bike,Endurance ride,Zone 2 with 3 × 8 min cadence work,26500,,base,12
2027-03-25,both,swim,Endurance swim,Long continuous sets,1900,,base,12
2027-03-25,both,run,Easy run,"Off the back of the swim, easy",5600,,base,12
2027-03-26,both,strength,Gym,"Legs, glutes and core",,2700,base,12
2027-03-27,both,bike,Long ride,"Steady, together",46000,,base,12
2027-03-28,both,run,Long run,Flat and steady,10000,,base,12
2027-03-29,both,swim,Technique swim,"Drills, then 10 × 100 m steady",2700,,base,13
2027-03-30,both,run,Threshold intervals,"4 × 6 min at threshold, 2 min jog",10000,,base,13
2027-03-31,both,bike,Endurance ride,Zone 2 with 3 × 8 min cadence work,42500,,base,13
2027-04-01,both,swim,Endurance swim,Long continuous sets,3000,,base,13
2027-04-01,both,run,Easy run,"Off the back of the swim, easy",8700,,base,13
2027-04-02,both,strength,Gym,"Legs, glutes and core",,2700,base,13
2027-04-03,both,bike,Long ride,"Steady, together",74500,,base,13
2027-04-04,both,run,Long run,Flat and steady,16000,,base,13
2027-04-05,both,swim,Technique swim,"Drills, then 10 × 100 m steady",2800,,base,14
2027-04-06,both,run,Threshold intervals,"4 × 6 min at threshold, 2 min jog",10500,,base,14
2027-04-07,both,bike,Endurance ride,Zone 2 with 3 × 8 min cadence work,44000,,base,14
2027-04-08,both,swim,Endurance swim,Long continuous sets,3100,,base,14
2027-04-08,both,run,Easy run,"Off the back of the swim, easy",8900,,base,14
2027-04-09,both,strength,Gym,"Legs, glutes and core",,2700,base,14
2027-04-10,both,bike,Long ride,"Steady, together",78000,,base,14
2027-04-11,both,run,Long run,Flat and steady,16500,,base,14
2027-04-12,both,swim,Technique swim,"Drills, then 10 × 100 m steady",2800,,base,15
2027-04-13,both,run,Threshold intervals,"4 × 6 min at threshold, 2 min jog",10500,,base,15
